GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047023200,"Census Tract 232, Kings County, New York",multoth_race,0,123,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",multnoth_race,14,23,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",total_eth,6020,745,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",nothisp_eth,5382,791,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",hisp_eth,638,427,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",total_hh_move,5897,735,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",same_hh,5754,750,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",move_instate_hh,15,23,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",move_ostate_hh,24,43,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",med_hhinc,27257,5760,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",total_hh,1408,162,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",hh_oo,404,124,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",hh_ro,1004,175,2009,2005-2009,Census Tract 232
36047023400,"Census Tract 234, Kings County, New York",total,4995,772,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_total,2597,463,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_5y,556,127,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_5_9,226,129,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_10_14,221,141,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_15_17,101,60,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_18_19,199,163,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_20,121,90,2009,2005-2009,Census Tract 234
36047023400,"Census Tract 234, Kings County, New York",male_21,74,49,2009,2005-2009,Census Tract 234
